Date,S&P_500,NASDAQ,Dow_Jones
3/11/1983,151.24,266.18,1117.74
3/18/1983,149.9,265.01,1117.74
3/25/1983,152.67,270.89,1140.09
3/31/1983,152.96,270.8,1130.03
4/8/1983,152.85,268.1,1124.71
4/15/1983,158.75,281.6,1171.34
4/22/1983,160.42,288.55,1196.3
4/29/1983,164.43,293.06,1226.2
5/6/1983,166.1,301.64,1232.59
5/13/1983,164.91,303.94,1218.75
5/20/1983,162.14,303.56,1190.02
5/27/1983,164.46,312.05,1216.14
6/3/1983,164.42,313.85,1213.04
6/10/1983,162.68,315.24,1196.11
6/17/1983,169.13,326.11,1242.19
6/24/1983,170.41,328.91,1241.69
7/1/1983,168.64,321.58,1225.26
7/8/1983,167.08,319.57,1207.23
7/15/1983,164.29,312.87,1192.31
7/22/1983,168.89,320.71,1231.17
7/29/1983,162.56,303.96,1199.22
8/5/1983,161.74,300.2,1183.29
8/12/1983,162.16,299.58,1182.83
8/19/1983,163.98,299.1,1194.21
8/26/1983,162.14,290.31,1192.07
9/2/1983,165,297.85,1215.45
9/9/1983,166.92,302.23,1239.74
9/16/1983,166.25,298.27,1225.71
9/23/1983,169.51,303.61,1255.59
9/30/1983,166.07,296.65,1233.13
10/7/1983,170.8,297.36,1272.15
10/14/1983,169.86,289.65,1263.52
10/21/1983,165.95,279.49,1248.88
10/28/1983,163.37,276.14,1223.48
11/4/1983,162.44,273.17,1218.29
11/11/1983,166.29,277.13,1250.2
11/18/1983,165.09,281.28,1251.02
11/25/1983,167.18,285.49,1277.44
12/2/1983,165.44,283.91,1265.24
12/9/1983,165.08,280.51,1260.06
12/16/1983,162.39,276.01,1242.17
12/23/1983,163.22,276.54,1250.51
12/30/1983,164.93,278.6,1258.64
1/6/1984,169.28,287.9,1286.64
1/13/1984,167.02,286.85,1270.1
1/20/1984,166.21,284.41,1259.11
1/27/1984,163.94,273.18,1230
2/3/1984,160.91,264.01,1197.03
2/10/1984,156.3,254.04,1160.7
2/17/1984,155.74,251.33,1148.87
2/24/1984,157.51,251.44,1165.1
3/2/1984,159.24,255.54,1171.48
3/9/1984,154.35,249.01,1139.76
3/16/1984,159.27,253.37,1184.36
3/23/1984,156.86,249.98,1154.84
3/30/1984,159.18,250.78,1164.89
4/6/1984,155.48,243.94,1132.22
4/13/1984,157.31,244.01,1150.13
4/19/1984,158.02,245.35,1158.08
4/27/1984,159.89,246.9,1169.07
5/4/1984,159.11,250.89,1165.31
5/11/1984,158.49,250.57,1157.14
5/18/1984,155.78,244.61,1133.79
5/25/1984,151.62,235.23,1107.1
6/1/1984,153.24,235.9,1124.35
6/8/1984,155.17,240.35,1131.25
6/15/1984,149.03,235.64,1086.9
6/22/1984,154.46,241.11,1131.07
6/29/1984,153.18,239.65,1132.4
7/6/1984,152.24,236.72,1122.57
7/13/1984,150.88,234.67,1109.87
7/20/1984,149.55,229.37,1101.37
7/27/1984,151.19,229.3,1114.62
8/3/1984,162.35,246.24,1202.08
8/10/1984,165.42,252.43,1218.09
8/17/1984,164.14,250.37,1211.9
8/24/1984,167.51,254.78,1236.53
8/31/1984,166.68,254.64,1224.38
9/7/1984,164.37,251.68,1207.38
9/14/1984,168.78,255.6,1237.52
9/21/1984,165.67,252.68,1201.74
9/28/1984,166.1,249.94,1206.71
10/5/1984,162.68,245.46,1182.53
10/12/1984,164.18,246.2,1190.7
10/19/1984,167.96,251.2,1225.93
10/26/1984,165.29,247.4,1204.95
11/2/1984,167.42,248,1216.65
11/9/1984,167.6,249.5,1218.97
11/16/1984,164.1,245.1,1187.94
11/23/1984,166.92,245.3,1220.3
11/30/1984,163.58,242.4,1188.94
12/7/1984,162.26,239.3,1163.21
12/14/1984,162.69,239,1175.91
12/21/1984,165.51,244.8,1198.98
12/28/1984,166.26,245.9,1204.17
1/4/1985,163.68,246.1,1184.96
1/11/1985,167.91,252.2,1218.09
1/18/1985,171.32,263.1,1227.36
1/25/1985,177.35,274,1276.06
2/1/1985,178.63,278.4,1277.72
2/8/1985,182.19,288.4,1289.97
2/15/1985,181.6,287.7,1282.02
2/22/1985,179.36,286.2,1275.84
3/1/1985,183.23,287.2,1299.36
3/8/1985,179.1,282.4,1269.66
3/15/1985,176.53,278,1247.35
3/22/1985,179.04,278.9,1267.45
3/29/1985,180.66,279.2,1266.78
4/4/1985,179.03,277.4,1259.05
4/12/1985,180.54,280.6,1265.68
4/19/1985,181.11,282.8,1266.56
4/26/1985,182.18,284.1,1275.18
5/3/1985,180.08,280.3,1247.24
5/10/1985,184.28,287.5,1274.18
5/17/1985,187.42,291.7,1285.34
5/24/1985,188.29,292.1,1301.97
5/31/1985,189.55,290.8,1315.41
6/7/1985,189.68,291,1316.42
6/14/1985,187.1,288,1300.96
6/21/1985,189.61,288.7,1324.48
6/28/1985,191.85,296.2,1335.46
7/5/1985,192.52,298.6,1334.45
7/12/1985,193.29,302.4,1338.6
7/19/1985,195.13,307.8,1359.54
7/26/1985,192.4,304.6,1357.08
8/2/1985,191.48,304.5,1353.05
8/9/1985,188.32,299.1,1320.79
8/16/1985,186.1,296.5,1312.72
8/23/1985,187.17,296.7,1318.32
8/30/1985,188.63,297.7,1334.01
9/6/1985,188.24,296.2,1335.69
9/13/1985,182.91,287.2,1307.68
9/20/1985,182.05,284.4,1297.94
9/26/1985,181.29,280.2,1320.79
10/4/1985,183.22,280.5,1328.74
10/11/1985,184.28,281.8,1339.94
10/18/1985,187.04,288.4,1368.84
10/25/1985,187.52,289.5,1356.52
11/1/1985,191.53,294.1,1390.25
11/8/1985,193.72,300,1404.36
11/15/1985,198.11,306.2,1435.09
11/22/1985,201.52,310.8,1464.33
11/29/1985,202.17,314,1472.13
12/6/1985,202.99,316.6,1477.18
