,Unnamed: 0,location,side_a,side_b,territory_name,start_date,start_date2,region,type_of_conflict,S&P_500,NASDAQ,Dow_Jones
116,122,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
117,123,Bangladesh,Government of Bangladesh,IS,Islamic State,2015-11-04,2016-08-29,3,3,2169.04,5218.92,18395.4
118,124,Bangladesh,Government of Bangladesh,IS,Islamic State,2015-11-04,2016-08-29,3,3,2169.04,5218.92,18395.4
119,125,Lebanon,Government of Lebanon,IS,Islamic State,2014-06-25,2014-08-03,2,3,1925.15,4352.64,16493.37
120,126,Lebanon,Government of Lebanon,IS,Islamic State,2014-06-25,2014-08-03,2,3,1925.15,4352.64,16493.37
121,127,Lebanon,Government of Lebanon,IS,Islamic State,2014-06-25,2017-08-19,2,3,2425.55,6216.53,21674.51
122,128,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
123,129,Libya,Government of Libya,IS,Islamic State,2015-03-14,2015-03-18,4,3,2108.1,5026.42,18127.65
124,130,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
125,131,Sierra Leone,Government of Sierra Leone,"AFRC, Kamajors, RUF",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
126,132,Sierra Leone,Government of Sierra Leone,"AFRC, Kamajors, RUF",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
127,133,Sierra Leone,Government of Sierra Leone,"AFRC, RUF",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
128,134,Algeria,Government of Algeria,IS,Islamic State,2014-10-10,2015-05-20,4,3,2126.06,5089.36,18232.02
129,135,Syria,Government of Syria,SDF,Rojava Kurdistan,2015-12-06,2016-04-23,2,3,2091.58,4906.23,18003.75
130,136,Syria,Government of Syria,SDF,Rojava Kurdistan,2015-12-06,2018-09-08,2,3,2446.3,6301.8857,21865.37
131,137,Sierra Leone,Government of Sierra Leone,"RUF, WSB",,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
132,138,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1991-12-30,1,4,406.46,565.71,3101.52
133,139,Jordan,Government of Jordan,IS,Islamic State,2016-03-02,2016-12-18,2,3,2258.07,5437.16,19843.41
134,140,Turkey,Government of Turkey,IS,Islamic State,2015-07-23,2015-11-14,2,3,2023.04,4927.88,17245.24
135,141,Turkey,Government of Turkey,IS,Islamic State,2015-07-23,2015-11-14,2,3,2023.04,4927.88,17245.24
136,142,Turkey,Government of Turkey,IS,Islamic State,2015-07-23,2015-11-14,2,3,2023.04,4927.88,17245.24
137,143,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
138,144,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
139,145,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
140,146,Pakistan,Government of Pakistan,IS,Islamic State,2016-02-12,2016-10-24,3,3,2141.16,5257.4,18145.71
141,147,Somalia,Government of Somalia,Republic of Somaliland,Somaliland,2016-07-18,2018-05-15,4,3,2446.3,6301.8857,21865.37
142,148,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1991-12-30,1,4,406.46,565.71,3101.52
143,149,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1991-12-30,1,4,406.46,565.71,3101.52
144,150,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1997-04-20,1,4,766.34,1222.57,6703.55
145,151,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,1997-04-20,1,4,766.34,1222.57,6703.55
146,156,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2005-12-05,1,4,1265.08,2273.37,10877.51
147,157,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2008-12-31,1,4,931.8,1632.21,9034.69
148,158,Iran,Government of Iran,IS,Islamic State,2016-08-15,2017-06-11,2,3,2431.77,6207.92,21271.97
149,159,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
150,160,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
151,161,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
152,162,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
153,163,Philippines,Government of Philippines,IS,Islamic State,2016-06-01,2016-06-01,3,3,2099.13,4942.52,17807.06
154,164,Tunisia,Government of Tunisia,IS,Islamic State,2015-03-18,2016-03-07,4,3,1999.99,4717.02,17006.77
155,165,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2012-09-25,1,4,1440.67,3116.23,13437.13
156,166,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
157,167,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
158,168,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
159,169,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2014-08-01,1,4,1925.15,4352.64,16493.37
160,1403,Guinea,Government of Guinea,RFDG,,2000-09-01,2000-09-17,4,3,1465.81,3835.23,10927.0
161,1404,Guinea,Government of Guinea,RFDG,,2000-09-01,2000-09-17,4,3,1465.81,3835.23,10927.0
162,1642,Eritrea,Government of Eritrea,EIJM - AS,,1993-12-16,1997-06-30,4,3,916.92,1467.61,7895.81
163,1643,Eritrea,Government of Eritrea,EIJM - AS,,1993-12-16,1999-04-04,4,3,1293.72,2493.37,9832.51
164,1644,Eritrea,Government of Eritrea,EIJM - AS,,1993-12-16,2003-07-17,4,3,993.32,1708.5,9188.15
165,1738,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
166,1739,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
167,1740,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
168,1741,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
169,1742,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
170,1743,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
171,1744,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
172,1745,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
173,1746,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
174,1747,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
