,location,side_a,start_date,start_date2,region,region name,type_of_conflict,type_of_conflict_name,S&P_500,NASDAQ,Dow_Jones,Year,Month
99,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
100,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
101,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
102,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
103,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
104,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
105,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
106,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
107,United States of America,Government of United States of America,9/11/2001,7/31/2019,5,Americas,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,2001,9
108,Mauritania,Government of Mauritania,9/15/2008,9/18/2010,4,Africa,4,Internationalized Intrastate ,1125.59,2315.61,10607.85,2008,9
109,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
110,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
111,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
112,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
113,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
114,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
115,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
116,Mali,Government of Mali,6/10/2009,1/24/2012,4,Africa,4,Internationalized Intrastate ,1316.33,2816.55,12660.46,2009,6
117,Libya,Government of Libya,2/28/2011,3/4/2011,4,Africa,4,Internationalized Intrastate ,1321.15,2784.67,12169.88,2011,2
118,Libya,Government of Libya,2/28/2011,2/21/2019,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,2011,2
119,Libya,Government of Libya,2/28/2011,2/21/2019,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,2011,2
120,South Sudan,Government of South Sudan,8/20/2011,8/20/2011,4,Africa,4,Internationalized Intrastate ,1123.53,2341.84,10817.65,2011,8
121,South Sudan,Government of South Sudan,8/20/2011,8/20/2011,4,Africa,4,Internationalized Intrastate ,1123.53,2341.84,10817.65,2011,8
122,Syria,Government of Syria,3/26/2013,7/25/2013,2,Middle East,4,Internationalized Intrastate ,1691.65,3613.16,15558.83,2013,3
123,Syria,Government of Syria,3/26/2013,7/25/2013,2,Middle East,4,Internationalized Intrastate ,1691.65,3613.16,15558.83,2013,3
124,Syria,Government of Syria,3/26/2013,7/25/2013,2,Middle East,4,Internationalized Intrastate ,1691.65,3613.16,15558.83,2013,3
125,Syria,Government of Syria,3/26/2013,7/25/2013,2,Middle East,4,Internationalized Intrastate ,1691.65,3613.16,15558.83,2013,3
126,Syria,Government of Syria,3/26/2013,7/25/2013,2,Middle East,4,Internationalized Intrastate ,1691.65,3613.16,15558.83,2013,3
